,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,0.87926924,0.0,-1.1038395,0.0,-0.50182974,0.0,-0.61444044,0.0,-0.03157921,0.0,0.020666264,0.0,0.3350047,0.0,-0.9574937,0.0,-1.9973426,0.0,1.1722139,0.0,0.02101286,0.0,-1.3369585,0.0,-1.102853,0.0,0.009939335,0.0,-0.2082662,0.0,-0.5230079,0.0,-0.49843904,0.0,0.01694803,0.0
11,-0.18880674,0.0,-0.9803423,0.0,-0.044480864,0.0,-0.77994984,0.0,-0.038435966,0.0,0.3159825,0.0,-0.109424524,0.0,-1.2298245,0.0,-4.897147,0.0,2.9799414,0.0,0.32126454,0.0,-1.1997145,0.0,-3.6626563,0.0,0.15188752,0.0,-1.0008094,0.0,-0.41926265,0.0,-1.4569505,0.0,0.25911754,0.0
12,-0.6439813,0.0,-1.3444307,0.0,1.7228177,0.0,-0.8723245,0.0,-0.042310685,0.0,0.52457845,0.0,-1.3965,0.0,-1.3880743,0.0,-2.604331,0.0,1.2035186,0.0,0.53334665,0.0,-0.60749495,0.0,-1.6558298,0.0,0.2521587,0.0,-0.4799231,0.0,-0.90304977,0.0,0.057062507,0.0,0.43017346,0.0
13,0.69626427,0.0,-0.2815385,0.0,2.1847923,0.0,1.4105531,0.0,-0.044789758,0.0,0.6748394,0.0,1.0724977,0.0,-1.4785073,0.0,-2.1330643,0.0,0.6043372,0.0,0.6861188,0.0,-1.8937229,0.0,-2.1978593,0.0,0.32438463,0.0,0.111663125,0.0,-1.0060117,0.0,-0.24973887,0.0,0.5533926,0.0
14,-0.2751208,0.0,-1.1530777,0.0,3.479194,0.0,0.17154671,0.0,-0.04638338,0.0,0.78352845,0.0,2.1342738,0.0,-1.5280002,0.0,-2.0594404,0.0,0.13256049,0.0,0.79662436,0.0,-1.6954365,0.0,-0.07723054,0.0,0.37663028,0.0,-0.19251415,0.0,-1.2983514,0.0,-0.8482598,0.0,0.64252144,0.0
15,-0.6837271,0.0,-1.5101018,0.0,5.3106294,0.0,-0.29197463,0.0,-0.047262177,0.0,0.8592438,0.0,0.70441705,0.0,-1.5476927,0.0,-2.203045,0.0,-4.2243457,0.0,0.8736051,0.0,0.52550817,0.0,-2.043529,0.0,0.41302863,0.0,-0.27175838,0.0,-1.0337497,0.0,-0.93353,0.0,0.70461065,0.0
16,1.4747518,0.0,-1.04021,0.0,5.39471,0.0,-0.5026937,0.0,-0.04764333,0.0,0.9103524,0.0,3.2580888,0.0,-0.96912646,0.0,-1.7094132,0.0,-1.291042,0.0,0.92556787,0.0,-0.46824214,0.0,-1.2167898,0.0,0.43759876,0.0,-0.25230566,0.0,-1.4040397,0.0,-0.9742297,0.0,0.7465215,0.0
17,0.18235959,0.0,-0.57564473,0.0,4.4864044,0.0,-0.6176345,0.0,-0.047750257,0.0,0.9452388,0.0,4.5197845,0.0,-1.2153451,0.0,-1.4266968,0.0,-2.15062,0.0,0.9610373,0.0,1.0078975,0.0,-1.1506944,0.0,0.45436546,0.0,-0.24705501,0.0,-1.0790378,0.0,-1.002948,0.0,0.7751295,0.0
18,-0.34415436,0.0,-0.7097187,0.0,3.867454,0.0,-0.69232064,0.0,-0.047662456,0.0,0.96906763,0.0,-5.9790053,0.0,-1.3278594,0.0,-0.7478781,0.0,-2.20953,0.0,0.98526436,0.0,-4.092139,0.0,-0.95977765,0.0,0.46581972,0.0,-2.7755806,0.0,-1.3285135,0.0,-1.805462,0.0,0.79467,0.0
19,-0.594655,0.0,-1.1060171,0.0,4.3131237,0.0,-0.7140638,0.0,-0.047391225,0.0,0.9848161,0.0,-2.70743,0.0,-1.3779998,0.0,-1.2711166,0.0,-3.944787,0.0,1.001276,0.0,-2.6895702,0.0,-0.8950655,0.0,0.4733912,0.0,-0.9360524,0.0,-1.0082804,0.0,-1.3993232,0.0,0.8075843,0.0
