,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10,0.87926924,-1.1038395,-0.50182974,-0.61444044,-0.03157921,0.020666264,0.3350047,-0.9574937,-1.9973426,1.1722139,0.02101286,-1.3369585,-1.102853,0.009939335,-0.2082662,-0.5230079,-0.49843904,0.01694803,0.0
11,-0.18880674,-0.9803423,-0.044480864,-0.77994984,-0.038435966,0.3159825,-0.109424524,-1.2298245,-4.897147,2.9799414,0.32126454,-1.1997145,-3.6626563,0.15188752,-1.0008094,-0.41926265,-1.4569505,0.25911754,0.0
12,-0.6439813,-1.3444307,1.7228177,-0.8723245,-0.042310685,0.52457845,-1.3965,-1.3880743,-2.604331,1.2035186,0.53334665,-0.60749495,-1.6558298,0.2521587,-0.4799231,-0.90304977,0.057062507,0.43017346,0.0
13,0.69626427,-0.2815385,2.1847923,1.4105531,-0.044789758,0.6748394,1.0724977,-1.4785073,-2.1330643,0.6043372,0.6861188,-1.8937229,-2.1978593,0.32438463,0.111663125,-1.0060117,-0.24973887,0.5533926,0.0
14,-0.2751208,-1.1530777,3.479194,0.17154671,-0.04638338,0.78352845,2.1342738,-1.5280002,-2.0594404,0.13256049,0.79662436,-1.6954365,-0.07723054,0.37663028,-0.19251415,-1.2983514,-0.8482598,0.64252144,0.0
15,-0.6837271,-1.5101018,5.3106294,-0.29197463,-0.047262177,0.8592438,0.70441705,-1.5476927,-2.203045,-4.2243457,0.8736051,0.52550817,-2.043529,0.41302863,-0.27175838,-1.0337497,-0.93353,0.70461065,0.0
16,1.4747518,-1.04021,5.39471,-0.5026937,-0.04764333,0.9103524,3.2580888,-0.96912646,-1.7094132,-1.291042,0.92556787,-0.46824214,-1.2167898,0.43759876,-0.25230566,-1.4040397,-0.9742297,0.7465215,0.0
17,0.18235959,-0.57564473,4.4864044,-0.6176345,-0.047750257,0.9452388,4.5197845,-1.2153451,-1.4266968,-2.15062,0.9610373,1.0078975,-1.1506944,0.45436546,-0.24705501,-1.0790378,-1.002948,0.7751295,0.0
18,-0.34415436,-0.7097187,3.867454,-0.69232064,-0.047662456,0.96906763,-5.9790053,-1.3278594,-0.7478781,-2.20953,0.98526436,-4.092139,-0.95977765,0.46581972,-2.7755806,-1.3285135,-1.805462,0.79467,0.0
19,-0.594655,-1.1060171,4.3131237,-0.7140638,-0.047391225,0.9848161,-2.70743,-1.3779998,-1.2711166,-3.944787,1.001276,-2.6895702,-0.8950655,0.4733912,-0.9360524,-1.0082804,-1.3993232,0.8075843,0.0
20,-0.73106843,-0.5225121,3.509813,-0.71119094,-0.04693083,0.9948325,-1.6891146,-1.4040486,-1.0835919,-1.8546478,1.0114598,0.23906112,-0.9079945,0.478206,-0.5050898,-1.0797942,-1.7373139,0.8157981,0.0
21,-0.037664004,-0.6263652,3.0866332,-0.697555,-0.04626955,1.0011699,-3.3027382,-1.4410195,-7.3563333,-0.78691876,1.0179031,3.6911144,-2.0580776,0.4812537,-0.946037,-1.3314112,-1.7321163,0.820995,0.0
22,1.8924248,-1.1636283,4.4659896,-0.6809387,-0.045377366,1.0052233,0.1311615,-1.4363455,2.1014898,-0.25541127,1.0220243,-2.8564167,-0.0367291,0.48319933,-0.35418463,-1.2133696,-1.2174999,0.8243189,0.0
23,0.5713416,-0.91080916,2.7761216,-0.6628334,-0.04421911,1.0077676,-0.24946587,-1.4098579,-0.12891668,1.4565697,1.024611,-1.8309429,1.1311713,0.48442516,0.07084899,-1.1546929,0.10444091,0.8264053,0.0
24,1.5830363,0.26910743,0.6880895,-0.6458003,-0.04277382,1.0093468,0.7896696,-1.4102392,-1.2089388,-3.322937,1.0262166,-3.1856787,3.8502822,0.48518005,-0.72600096,-1.1196604,-0.3968054,0.8277003,0.0
25,0.52334005,-0.7618308,0.5091423,-0.6306666,-0.04104558,1.0103675,0.23235567,-1.4043767,-0.9540458,-3.4969037,1.0272543,-3.453027,0.93008673,0.48566926,-0.23715173,-1.09207,-1.825378,0.8285373,0.0
26,0.027032442,-1.042473,0.28450352,-0.6178923,-0.039066896,1.0111308,2.0780952,-1.3950937,-0.5095673,-2.5784733,1.0280304,-2.6276925,1.7946669,0.48603898,0.37094587,-1.0688206,-1.3381587,0.8291632,0.0
27,-0.26498005,-0.8272426,-0.025787955,-0.5172903,-0.03689772,1.0117273,0.9328978,-1.3836968,-1.1137,-1.7092906,1.028637,-0.8140926,-0.4865326,0.48632717,-1.0510526,-1.0317081,-0.4348492,0.8296524,0.0
28,-0.42948812,-0.24288885,0.28339133,-0.5528692,-0.0346192,1.0122274,0.448531,-1.3702275,-2.3065116,3.834024,1.0291455,-2.4715755,0.6670321,0.48657176,-2.32918,-1.0281975,-0.514359,0.8300625,0.0
29,1.0306214,-0.44863084,0.5043131,-0.5642662,-0.032322723,1.0126047,0.16954565,-1.3242642,-0.7094178,-3.9756866,1.029529,-0.06661598,0.302991,0.4867489,-0.6068647,-1.0218096,-0.6742801,0.8303719,0.0
