,casnw.csv,dicp.csv,era.csv,erai.csv,gspcc.csv,hku.csv,hust.csv,iapcm.csv,nscccs.csv,nsccgz.csv,nsccjn.csv,nscctj.csv,nsccwx.csv,siat.csv,sjtu.csv,ssc.csv,ustc.csv,xjtu.csv,label_all
143,75.0,52.04,52.92,65.7,3.57,0.78,92.97,96.32,61.86,87.01,0.0,94.35,61.9,46.87,82.99,86.94,73.72,0.0,0.0
144,75.0,52.73,51.76,65.7,3.57,0.78,92.97,90.5,61.73,80.88,0.0,95.7,61.22,46.87,82.99,86.89,74.42,0.0,0.0
145,75.39,52.45,51.49,65.7,3.57,0.78,92.97,90.5,61.92,96.61,0.0,95.7,61.95,46.87,82.99,86.89,74.62,0.0,0.0
146,52.04,11.11,49.08,65.7,3.57,0.78,92.97,89.92,61.99,88.64,0.0,95.7,64.21,46.87,82.99,86.41,74.07,0.0,1.0
147,76.17,52.04,47.39,65.7,3.57,0.78,91.93,90.99,61.79,89.31,0.0,96.51,67.0,46.87,82.99,86.89,74.07,0.0,0.0
148,75.78,52.06,31.2,65.6,3.57,0.78,90.89,89.2,62.31,90.7,0.0,95.7,68.07,46.87,83.91,86.89,74.42,0.0,0.0
149,75.78,52.04,37.35,65.6,3.57,0.78,90.89,91.5,61.92,94.37,0.0,93.55,66.48,46.87,83.91,86.89,74.42,0.0,0.0
150,75.78,52.45,37.73,65.6,3.57,0.78,92.97,89.73,61.73,94.04,0.0,91.4,67.56,46.87,83.68,86.89,74.42,0.0,0.0
151,75.78,51.55,37.38,65.5,3.57,0.78,79.69,88.54,61.15,87.61,0.0,90.59,74.26,46.87,83.68,86.88,73.1,0.0,0.0
152,75.78,52.45,39.81,65.5,3.57,0.78,82.47,88.54,61.09,88.31,0.0,90.86,72.63,46.87,83.66,86.88,73.45,0.0,0.0
153,52.04,8.81,39.23,65.5,3.57,0.78,82.47,88.54,61.02,88.64,0.0,88.98,72.03,46.87,83.65,86.64,75.02,0.0,1.0
154,76.17,52.04,54.41,65.5,3.57,0.78,82.41,88.49,60.9,89.55,0.0,87.9,73.35,46.87,83.65,86.64,75.03,0.0,0.0
155,76.17,52.04,48.95,65.5,3.57,0.78,81.53,88.54,63.07,88.58,0.0,88.98,73.41,46.87,83.65,86.68,74.33,0.0,0.0
156,52.21,5.49,49.07,65.5,3.57,0.78,81.53,87.35,62.95,86.11,0.0,94.09,73.41,46.87,83.65,86.92,75.03,0.0,1.0
157,76.17,52.45,49.57,65.5,3.57,0.78,79.76,89.66,61.92,82.48,0.0,93.28,74.3,46.87,83.65,86.68,74.5,0.0,0.0
158,76.17,52.04,48.95,65.5,3.57,0.78,79.76,94.28,61.79,81.25,0.0,93.82,71.89,46.87,83.65,86.92,74.67,0.0,0.0
159,76.17,52.32,48.37,63.18,3.57,0.78,77.99,92.54,62.31,79.46,0.0,92.47,66.22,46.87,83.65,86.68,74.5,0.0,0.0
160,76.17,52.86,50.0,60.85,3.57,0.78,77.99,92.51,62.11,78.23,0.0,93.82,69.98,46.87,83.65,86.68,74.5,0.0,0.0
161,76.17,53.59,49.32,60.85,3.57,0.78,77.1,92.42,61.54,78.96,0.0,94.09,69.42,46.87,84.21,86.44,74.15,0.0,0.0
162,76.17,52.04,48.76,60.85,3.57,0.78,77.1,92.34,61.22,77.9,0.0,95.97,70.07,46.87,83.75,86.44,74.15,0.0,0.0
163,52.45,3.31,49.46,60.85,3.57,0.78,92.32,62.24,78.61,0.0,96.51,69.97,46.87,84.21,86.2,74.5,0.0,76.17,8.0
164,76.17,52.86,48.68,58.53,3.57,0.78,75.33,92.3,61.54,84.0,0.0,96.51,69.97,46.87,83.98,86.2,74.5,0.0,0.0
165,76.17,52.86,32.35,58.53,3.57,0.78,72.73,91.11,61.02,88.65,0.0,95.97,70.91,46.87,84.21,86.92,74.5,0.0,0.0
166,79.3,52.45,54.78,58.53,3.57,0.78,72.73,91.09,61.47,90.27,0.0,94.89,71.08,46.87,84.21,86.44,74.33,0.0,0.0
167,77.73,52.45,54.88,53.88,3.57,0.78,71.85,91.01,61.66,83.61,0.0,95.97,71.14,46.87,84.21,86.92,74.33,0.0,0.0
168,76.17,52.86,56.21,53.88,3.57,0.78,70.96,90.94,63.84,89.77,0.0,95.43,73.45,46.87,84.21,86.44,74.15,0.0,0.0
169,76.17,52.04,56.07,53.88,3.57,0.78,70.96,90.89,63.59,77.18,0.0,95.97,72.66,46.87,84.21,86.92,74.15,0.0,0.0
170,76.17,52.04,55.87,53.88,3.57,0.78,72.73,90.87,63.46,82.83,0.0,95.43,72.99,46.87,84.21,86.92,74.67,0.0,0.0
171,76.17,52.45,61.02,53.88,3.57,0.78,70.96,90.84,63.46,86.35,0.0,95.97,73.65,46.87,84.21,86.92,74.67,0.0,0.0
172,76.95,52.45,61.36,70.15,3.57,0.78,70.96,90.79,63.46,85.72,0.0,96.51,74.24,46.87,84.21,86.92,74.67,0.0,0.0
173,76.95,52.45,61.82,70.15,3.39,0.78,70.96,90.79,63.71,83.84,0.0,96.51,72.68,46.87,83.75,86.96,74.67,0.0,0.0
